
id,bookingTime,checkIn,checkOut,currency,totalPrice,status
100001,2017-02-16 07:13:56,2017-02-18,2017-02-19,EUR,20.00,CONFIRMED
100008,2017-03-23 12:12:10,2017-04-14,2017-04-16,EUR,447.90,CONFIRMED
100009,2017-03-23 19:54:52,2017-03-23,2017-03-24,EUR,2.00,CONFIRMED
100010,2017-03-24 08:07:37,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100011,2017-03-24 08:21:12,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100012,2017-03-24 08:46:48,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100013,2017-03-24 09:19:38,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100014,2017-03-24 10:10:25,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100015,2017-03-24 10:48:24,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100018,2017-03-24 11:52:37,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100024,2017-03-24 12:38:32,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100025,2017-03-24 12:39:30,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100026,2017-03-24 12:51:36,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100027,2017-03-24 12:52:30,2017-03-24,2017-03-25,EUR,2.00,CANCELLED
100038,2017-03-27 11:00:39,2017-03-28,2017-03-29,EUR,60.00,CONFIRMED
100039,2017-03-27 14:16:48,2017-03-27,2017-03-28,EUR,2.00,CONFIRMED
100040,2017-03-27 14:22:56,2017-03-27,2017-03-28,EUR,2.00,CONFIRMED
100145,2017-04-04 15:00:57,2017-04-04,2017-04-05,TRY,2.00,CONFIRMED
100147,2017-04-04 15:05:13,2017-04-04,2017-04-05,TRY,2.00,CONFIRMED
100191,2017-04-06 07:51:52,2017-06-06,2017-06-07,TRY,0.00,CANCELLED
100192,2017-04-06 08:01:02,2017-06-14,2017-06-15,EUR,188.96,CONFIRMED
100198,2017-04-06 14:47:38,2017-04-08,2017-04-11,EUR,300.00,CANCELLED
100199,2017-04-06 14:49:29,2017-04-08,2017-04-11,EUR,300.00,CANCELLED
100215,2017-04-07 07:42:00,2017-04-08,2017-04-09,EUR,140.00,CONFIRMED
100281,2017-04-10 11:14:11,2017-04-10,2017-04-11,EUR,2.00,CANCELLED
100282,2017-04-10 11:16:30,2017-04-10,2017-04-11,EUR,2.00,CANCELLED
100283,2017-04-10 12:10:03,2017-04-10,2017-04-11,EUR,2.00,CANCELLED
100284,2017-04-10 12:48:05,2017-04-12,2017-04-13,EUR,1.00,CANCELLED
100285,2017-04-10 13:54:23,2017-04-19,2017-04-22,EUR,1.00,CANCELLED
100306,2017-04-11 13:30:56,2017-04-14,2017-04-16,EUR,380.00,CONFIRMED
100313,2017-04-11 21:27:23,2017-04-13,2017-04-16,EUR,960.00,CONFIRMED
